Reporter Name,Partner Name,Trade Flow,Indicator,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 World,Afghanistan,Import,Import Partner Share (%),0.0081,0.0044,0.0041,0.0032,0.0019,0.0016,0.0018,0.0019,0.0019,0.0023,0.0026,0.0017,0.0018,0.0012,0.0011,0.0025,0.0022,0.0025,0.0021,0.0029,0.0032,0.0104,0.004,0.0031,0.0038,0.0043,0.0048,0.0052,0.0067,0.006,0.0069
 World,Albania,Import,Import Partner Share (%),0.0071,0.0092,0.0052,0.0048,0.0026,0.002,0.0046,0.005,0.0061,0.0047,0.0052,0.0048,0.0045,0.0058,0.0056,0.0063,0.0062,0.0061,0.0063,0.0079,0.0133,0.0296,0.0105,0.0108,0.011,0.0132,0.0133,0.0121,0.013,0.0138,0.0148
 World,Algeria,Import,Import Partner Share (%),0.2326,0.208,0.2359,0.2745,0.2561,0.2388,0.2474,0.2428,0.2735,0.2809,0.2217,0.2043,0.2884,0.2788,0.2681,0.3027,0.3229,0.396,0.4146,0.3937,0.4367,0.3761,0.3819,0.402,0.396,0.3501,0.3263,0.2249,0.1893,0.1972,0.2221
 World,American Samoa,Import,Import Partner Share (%),,,,,,,,,,,,,0.0003,0.0003,0.0006,0.0005,0.0003,0.0002,0.0009,0.0005,0.0005,0.0003,0.0003,0.0003,0.0005,0.0003,0.0003,0.0002,0.0003,0.0002,0.0004
 World,Andorra,Import,Import Partner Share (%),0.0005,0.0012,0.0012,0.0011,0.0007,0.0005,0.0012,0.001,0.0009,0.0009,0.0009,0.0009,0.0007,0.0012,0.001,0.0011,0.0013,0.0016,0.0016,0.0012,0.0011,0.0015,0.0018,0.0024,0.0016,0.0017,0.0021,0.0004,0.0007,0.0007,0.0006
 World,Angola,Import,Import Partner Share (%),0.0552,0.0287,0.0491,0.126,0.1172,0.1,0.0802,0.0761,0.0919,0.0872,0.0714,0.0852,0.124,0.1056,0.1216,0.1223,0.1374,0.2108,0.2641,0.2993,0.4206,0.3227,0.3525,0.3663,0.4167,0.3899,0.3487,0.2214,0.179,0.2086,0.2383
 World,Anguila,Import,Import Partner Share (%),0,0,0,0.0001,0,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
 World,Antarctica,Import,Import Partner Share (%),,,,,,,,,,,,,0.0001,0,0,0,0,0,0,0,0,0,0.0004,0.0001,0.0008,0.0002,0.0001,0.0001,0.0001,0,0.0001
 World,Antigua and Barbuda,Import,Import Partner Share (%),0.0003,0.0007,0.0008,0.0006,0.0011,0.0011,0.001,0.0011,0.0011,0.0017,0.0005,0.0008,0.0021,0.0035,0.0039,0.0055,0.002,0.0029,0.003,0.0014,0.0023,0.0129,0.0175,0.0268,0.0035,0.0021,0.0014,0.0015,0.0016,0.0016,0.001
 World,Argentina,Import,Import Partner Share (%),0.2873,0.3597,0.4661,0.4268,0.3947,0.3558,0.4035,0.4253,0.463,0.492,0.4974,0.4111,0.4048,0.4428,0.4208,0.4233,0.409,0.4147,0.3964,0.4327,0.4817,0.4666,0.4586,0.4617,0.4613,0.4309,0.3714,0.3721,0.3701,0.3492,0.3055
 World,Armenia,Import,Import Partner Share (%),,,,,0.0003,0.0007,0.0004,0.0014,0.0033,0.0045,0.0044,0.0034,0.0042,0.0041,0.006,0.0076,0.006,0.0076,0.0074,0.0078,0.0059,0.0049,0.0053,0.0061,0.0064,0.0066,0.0071,0.0072,0.0104,0.011,0.0118
 World,Aruba,Import,Import Partner Share (%),0,0.0001,0,0.0061,0.0126,0.0183,0.0148,0.0142,0.0159,0.0189,0.0127,0.0168,0.0284,0.0218,0.0163,0.0166,0.0271,0.0384,0.0354,0.0334,0.0345,0.0179,0.0026,0.0256,0.0104,0.0034,0.0033,0.0027,0.0011,0.0016,0.0011
 World,Australia,Import,Import Partner Share (%),2.138,1.9847,1.8315,1.5525,1.3435,1.2789,1.1335,1.0274,1.0961,1.1301,1.0347,0.9706,1.0797,1.0973,1.0527,0.9847,1.0161,1.0742,1.0963,1.103,1.2641,1.3621,1.4567,1.5565,1.5305,1.4775,1.4436,1.3005,1.2778,1.4729,1.4641
 World,Austria,Import,Import Partner Share (%),2.1266,1.5125,1.6337,1.2504,1.2765,1.1078,1.1491,1.0499,1.016,0.957,1.0324,1.0019,0.8786,0.9503,1.0014,1.0431,1.0523,0.9947,1.0053,1.0588,0.9854,0.9986,0.922,0.9118,0.8503,0.8735,0.8974,0.8913,0.9113,1.113,0.9186
 World,Azerbaijan,Import,Import Partner Share (%),,,,,0.0018,0.0026,0.0019,0.0031,0.0077,0.0144,0.0089,0.0144,0.0225,0.0238,0.0267,0.0253,0.0276,0.0392,0.0711,0.1037,0.1495,0.1405,0.1457,0.1805,0.1596,0.1574,0.1449,0.1034,0.0822,0.0982,0.1077
