Country,2000 수출,2000 수입,2001 수출,2001 수입,2002 수출,2002 수입,2003 수출,2003 수입,2004 수출,2004 수입,2005 수출,2005 수입,2006 수출,2006 수입,2007 수출,2007 수입,2008 수출,2008 수입,2009 수출,2009 수입,2010 수출,2010 수입,2011 수출,2011 수입,2012 수출,2012 수입,2013 수출,2013 수입,2014 수출,2014 수입,2015 수출,2015 수입,2016 수출,2016 수입,2017 수출,2017 수입,2018 수출,2018 수입,2019 수출,2019 수입
Argentina,9.2800,8.8500,9.8800,7.5600,26.2500,9.2000,23.1700,10.8400,20.9800,13.6300,20.1600,14.4400,20.0200,14.6900,19.4000,15.5500,19.5200,15.8800,16.8900,11.7400,16.1700,13.3200,15.8500,14.0200,14.8200,12.5500,15.0400,13.4100,13.6800,12.4100,9.5400,10.0500,10.3500,9.9700,9.1200,10.4200,11.8800,12.6000,14.4800,10.9200
Australia,15.3700,17.2400,16.7400,17.0000,16.4700,18.5000,15.0700,19.0900,14.1400,17.8800,15.3000,18.0400,16.5500,18.6700,16.5700,19.3800,17.6300,19.0100,16.6300,17.8300,18.5500,17.6200,19.3600,17.4300,16.5800,16.8500,16.0300,15.3600,16.3500,16.1700,13.8900,15.4500,15.9200,16.2300,17.3700,17.2000,17.9400,16.4100,19.4500,15.9000
Austria,32.6100,35.0500,33.7000,35.7200,34.2800,34.1400,34.1100,35.0000,37.1300,37.6700,37.2300,37.9400,38.8000,38.9700,40.4700,40.3300,40.2700,40.9200,32.6900,34.0200,36.9700,38.4300,39.3300,42.3000,38.7900,41.4400,38.8500,40.3600,38.5000,39.0400,38.1900,38.7900,36.7200,37.9800,38.3200,39.8400,38.9200,40.4600,38.5800,39.6300
Belgium,79.5400,74.9300,80.4800,75.5500,83.9900,77.0900,80.5400,74.0300,83.5200,77.7400,87.0200,82.7000,89.9100,86.5300,91.8200,87.8300,91.5500,90.4800,77.1800,73.7100,84.7700,81.3500,91.0300,89.3400,89.9500,88.5800,89.8400,86.5700,88.3100,84.8600,85.8500,81.2600,83.7100,79.7300,85.3800,81.2100,86.3600,83.7900,84.0700,80.5500
Brazil,8.4100,9.0100,10.4200,10.4800,10.5700,8.8200,13.1100,9.1200,14.4500,9.9300,13.3000,8.7000,12.4400,8.6600,11.5000,9.0700,11.6700,10.7700,9.1700,8.0200,9.1400,8.6800,9.8000,9.0700,9.8500,9.4800,9.7900,10.1400,9.1700,9.7400,10.6200,9.9400,10.3100,7.9900,10.5600,7.6400,12.6900,10.0000,12.2500,10.0200
Bulgaria,36.4000,49.1100,36.0600,51.2100,35.0500,48.6900,35.6600,51.5600,37.9700,55.3100,39.3000,60.8100,43.9300,67.6800,41.8300,67.7500,41.3000,68.0000,31.5000,45.2900,40.8400,50.5800,49.2000,56.7900,49.3800,60.5600,53.1900,61.7000,51.5500,60.9300,50.3100,57.6800,49.6200,53.8400,53.5900,58.1200,50.3300,57.3300,NaN,NaN
Canada,37.4600,NaN,35.4500,NaN,33.3100,NaN,30.5300,NaN,30.9900,NaN,31.7000,27.3800,30.2900,27.1200,29.3900,26.5200,29.7400,26.9800,23.5500,23.9900,24.3200,24.9000,25.8000,25.7700,25.2600,25.9800,25.1900,25.6100,26.5800,26.3400,26.3600,27.6000,25.7500,27.0200,25.7000,26.8400,26.3200,27.3100,25.8400,26.6400
Chile,24.7200,23.7200,25.7400,25.0800,26.0700,24.5900,28.6200,25.4400,33.2900,24.9100,34.1300,26.7800,38.3600,25.1900,39.4900,27.4200,35.9100,34.9600,32.1700,24.8500,32.5400,27.0000,32.2800,29.6700,29.2200,29.9800,27.5800,28.5100,28.8100,27.9600,25.4300,25.6200,24.2500,23.4900,0.0400,0.0400,0.0400,0.0400,NaN,NaN
China,20.5800,18.5800,19.8700,18.1800,22.1400,20.0700,26.3900,24.8600,30.3400,28.7000,33.3400,28.8800,35.2200,28.7700,34.3100,26.9300,31.1000,24.6400,23.5500,19.7200,25.9200,22.9400,25.1400,23.0900,24.0100,21.3000,23.1000,20.3700,22.3700,18.7400,20.6300,15.1900,19.0200,14.1500,18.5200,14.9700,NaN,NaN,NaN,NaN
Colombia,0.0100,0.0100,0.0100,0.0100,0.0000,0.0100,0.0000,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0200,0.0100,0.0200,0.0100,0.0200,0.0100,0.0100,0.0100,0.0100,0.0100,0.0200,0.0100,0.0200,0.0100,0.0200,0.0100,0.0200,0.0000,0.0200,0.0000,0.0200,12.1900,14.7700,12.5600,15.3600,12.2000,16.2800
