"지수종류별(1)",2008. 01,2008. 02,2008. 03,2008. 04,2008. 05,2008. 06,2008. 07,2008. 08,2008. 09,2008. 10,2008. 11,2008. 12
"제조업",2714.6,2917.51,2939.84,3137.59,3273.2,2941.58,2798.61,2507.7,2528.2,2004.68,1876.49,1940.65
"음식료품",2549.59,2631.49,2464.98,2570.32,2701.87,2651.89,2510.1,2381.23,2169.39,1765.64,1830.82,2023.66
"섬유의복",188.68,187.69,186.01,198.58,200.83,191.29,185.08,172.31,159.4,110.32,112.45,117.95
"종이목재",357.94,362.05,347.49,378.76,386.68,369.76,340.32,335.53,322.99,231.64,216.26,234.39
"화학",2463.97,2842.16,2642.91,2877.58,2926.39,2728.9,2725.34,2453.08,2506.27,1862.35,1859.51,1965.19
"의약품",4312.55,4511.58,4445.47,4798.67,4484.67,4422.05,4122.99,3919.3,3624.57,2724.99,3170.54,3396.58
"비금속광물",1122.64,1152.48,1090.01,1091.15,1066.24,1001.01,947.84,894.12,827.66,548.45,531.95,611.13
"철강금속",5926.62,6343.52,5743.56,6043.03,6760.44,6610.43,6513.98,5562.05,5280.89,4039.21,3877.01,4328.58
"기계",1522.84,2043.48,1996.82,1798.86,2010.16,1713.95,1664.56,1330.02,1368.6,883.51,871.07,995.37
"전기전자",5998.47,5971.23,6611.91,7301.94,7495.42,6394.41,5675.39,5234.11,5450.93,4960.22,4405.57,4165.92
"의료정밀",1118.82,1198.64,1318.89,1443.65,1485.17,1140.6,905.49,786.5,654.78,648.5,711.17,686.97
"운수장비",1343.37,1526.21,1556.36,1628.24,1698.83,1474.94,1476.38,1274.32,1322.81,891.63,774.01,852.98
"유통업",470.56,490.32,505.77,535.16,529.21,477.15,453.17,423.71,413.47,286.06,287.33,311.65
"전기가스업",1258.65,1134.08,1050.92,1161.84,1161.78,1084.06,1123.4,1142.75,1042.02,849.18,928.03,976.97
"건설업",296.5,355.16,341.74,337.57,332,291.8,257.43,213.19,228.41,153.21,143.73,164.62
"운수창고업",2852.3,3164.06,3073.37,3208.97,3168.3,2899.63,2814.24,2620.5,2529.85,1925.18,1878.79,1992.21
"통신업",365.83,330.79,337.31,347.02,350.84,330.43,327.2,345.9,345.3,314.18,333.2,338.65
"금융업",557.07,559.2,548.06,616.12,586.62,538.64,508.08,498.8,455.63,311.79,312.58,322.91
"은행",309.18,292.61,280.97,348.44,330.09,309.74,290.42,296.18,261.12,169.36,169.47,164.77
"증권",3399.27,3675.25,3542.83,3665.47,3380.92,2948.25,2834.25,2590.3,2776.22,1949.47,1868.17,2083.88
"보험",18246.35,18389.07,18943.51,19825.87,20924.76,20465.98,18719.43,17646.81,17672.17,12602.16,14065.01,14168.88
"서비스업",747.41,821.8,788.44,846.76,857.61,766.11,729.48,673.35,640.27,493.39,474.58,515.94
