LOCATION,Country,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Period,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1960-Q2,Q2-1960,PC,Percentage,0,Units,,,2.761951759,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1960-Q3,Q3-1960,PC,Percentage,0,Units,,,0.225552969,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1960-Q4,Q4-1960,PC,Percentage,0,Units,,,-0.197459165,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1961-Q1,Q1-1961,PC,Percentage,0,Units,,,0.301139091,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1961-Q2,Q2-1961,PC,Percentage,0,Units,,,-1.096510312,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1961-Q3,Q3-1961,PC,Percentage,0,Units,,,-0.715647456,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1961-Q4,Q4-1961,PC,Percentage,0,Units,,,1.137337154,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1962-Q1,Q1-1962,PC,Percentage,0,Units,,,2.806986798,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1962-Q2,Q2-1962,PC,Percentage,0,Units,,,1.916356508,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1962-Q3,Q3-1962,PC,Percentage,0,Units,,,0.808441242,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1962-Q4,Q4-1962,PC,Percentage,0,Units,,,1.794726436,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1963-Q1,Q1-1963,PC,Percentage,0,Units,,,2.310482064,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1963-Q2,Q2-1963,PC,Percentage,0,Units,,,-1.302408327,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1963-Q3,Q3-1963,PC,Percentage,0,Units,,,4.104061016,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1963-Q4,Q4-1963,PC,Percentage,0,Units,,,2.142340294,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1964-Q1,Q1-1964,PC,Percentage,0,Units,,,-0.160657812,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1964-Q2,Q2-1964,PC,Percentage,0,Units,,,2.468228527,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1964-Q3,Q3-1964,PC,Percentage,0,Units,,,0.619505138,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1964-Q4,Q4-1964,PC,Percentage,0,Units,,,2.84373003,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1965-Q1,Q1-1965,PC,Percentage,0,Units,,,0.838849987,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1965-Q2,Q2-1965,PC,Percentage,0,Units,,,1.567758449,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1965-Q3,Q3-1965,PC,Percentage,0,Units,,,-0.291677848,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1965-Q4,Q4-1965,PC,Percentage,0,Units,,,0.243385872,,
