Country,의사,천명당 의사,간호사,천명당 간호사
Argentina,NaN,NaN,NaN,NaN
Australia,93604,3.8,297807,11.9
Austria,46337,5.2,60694,6.9
Belgium,35762,3.1,NaN,NaN
Brazil,NaN,NaN,NaN,NaN
Bulgaria,NaN,NaN,NaN,NaN
Canada,100845,2.7,368664,10
Chile,NaN,NaN,NaN,NaN
China,NaN,NaN,NaN,NaN
Colombia,108499,2.2,66095,1.3
Czech Republic,42919,4,85744,8.1
Denmark,24301,4.2,58509,10.1
Estonia,4605,3.5,8317,6.3
Finland,NaN,NaN,NaN,NaN
France,212337,3.2,NaN,NaN
Germany,357401,4.3,1096000,13.2
Greece,NaN,NaN,36118,3.4
Hungary,33078,3.4,64695,6.6
Iceland,1373,3.9,5174,14.7
India,15962,3.3,NaN,NaN
Indonesia,NaN,NaN,NaN,NaN
Ireland,NaN,NaN,NaN,NaN
Israel,28618,3.2,44700,5
Italy,240301,4,346947,5.7
Japan,315406,2.5,1487444,11.8
Latvia,6367,3.3,8392,4.4
Lithuania,12881,4.6,21793,7.8
Luxembourg,NaN,NaN,NaN,NaN
Mexico,305985,2.4,359974,2.9
Netherlands,63233,3.7,191740,11.1
New Zealand,16223,3.4,50057,10.3
Norway,25538,4.8,94248,17.7
Poland,NaN,NaN,NaN,NaN
Pomania,NaN,NaN,NaN,NaN
Portugal,NaN,NaN,NaN,NaN
Russia,599919,4.1,1242022,8.5
Saudi Arabia,NaN,NaN,NaN,NaN
Slovak Republic,NaN,NaN,NaN,NaN
Slovenia,6591,3.2,21031,10.1
South Africa,NaN,NaN,NaN,NaN
South Korea,123230,2.4,373601,7.2
Spain,188166,4,274633,5.9
Sweden,NaN,NaN,NaN,NaN
Switzerland,36940,4.3,149791,17.6
Turkey,NaN,NaN,NaN,NaN
United Kingdom,188783,2.8,517000,7.8
United States,851641,2.6,NaN,NaN
