"COU","Country","VAR","Variable","CO2","Country of origin","YEA","Year","Value","Flag Codes","Flags"
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2007","2007",62652,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2008","2008",64117,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2009","2009",67613,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2012","2012",75258,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2013","2013",77974,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2014","2014",80968,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2015","2015",83490,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2016","2016",86550,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2017","2017",90417,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2018","2018",93604,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2007","2007",263331,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2008","2008",272740,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2009","2009",276751,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2013","2013",257189,"B","Break"
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2014","2014",264876,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2015","2015",271151,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2016","2016",279789,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2017","2017",287405,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2018","2018",297807,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2005","2005",30236,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2006","2006",30426,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2007","2007",31267,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2008","2008",31585,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2009","2009",32266,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2010","2010",33042,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2011","2011",33656,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2012","2012",34491,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2013","2013",35844,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2014","2014",36771,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2015","2015",37687,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2016","2016",37648,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2017","2017",37963,,
